Date,Index,Price
2014-02-05,547,782.33
2014-02-06,548,763.99
2014-02-07,549,705.01
2014-02-10,550,687.81
2014-02-11,551,675.1
2014-02-12,552,651.99
2014-02-13,553,604.11
2014-02-14,554,669.0
2014-02-17,555,633.66
2014-02-18,556,627.7
2014-02-19,557,623.01
2014-02-20,558,561.86
2014-02-21,559,581.35
2014-02-24,560,535.49
2014-02-25,561,535.0
2014-02-26,562,585.24
2014-02-27,563,583.0
2014-02-28,564,551.89
2014-03-03,565,677.69
2014-03-04,566,673.0
2014-03-05,567,669.99
2014-03-06,568,669.57
2014-03-07,569,632.79
2014-03-10,570,629.39
2014-03-11,571,632.1
2014-03-12,572,634.95
2014-03-13,573,641.01
2014-03-14,574,630.42
2014-03-17,575,621.11
2014-03-18,576,612.0
2014-03-19,577,611.2
2014-03-20,578,587.98
2014-03-21,579,570.0
2014-03-24,580,585.99
2014-03-25,581,583.77
2014-03-26,582,581.49
2014-03-27,583,475.0
2014-03-28,584,502.01
2014-03-31,585,454.83
2014-04-01,586,478.98
2014-04-02,587,439.0
2014-04-03,588,451.03
2014-04-04,589,452.2
2014-04-07,590,447.11
2014-04-08,591,453.57
2014-04-09,592,441.69
2014-04-10,593,363.12
2014-04-11,594,423.0
2014-04-14,595,458.5
2014-04-15,596,521.0
2014-04-16,597,530.0
2014-04-17,598,500.09
2014-04-18,599,483.11
2014-04-21,600,496.74
2014-04-22,601,490.0
2014-04-23,602,492.0
2014-04-24,603,502.2
2014-04-25,604,466.52
2014-04-28,605,442.9
2014-04-29,606,448.0
2014-04-30,607,448.85
2014-05-01,608,460.97
2014-05-02,609,454.5
2014-05-05,610,433.0
2014-05-06,611,428.01
2014-05-07,612,440.0
2014-05-08,613,437.69
2014-05-09,614,452.37
2014-05-12,615,442.5
2014-05-13,616,439.12
2014-05-14,617,446.0
2014-05-15,618,446.0
2014-05-16,619,447.31
2014-05-19,620,448.34
2014-05-20,621,489.0
2014-05-21,622,493.98
2014-05-22,623,529.99
2014-05-23,624,523.77
2014-05-26,625,581.88
2014-05-27,626,572.7
2014-05-28,627,580.66
2014-05-29,628,572.37
2014-05-30,629,621.0
2014-06-02,630,661.22
2014-06-03,631,670.14
2014-06-04,632,640.59
2014-06-05,633,661.48
2014-06-06,634,647.16
2014-06-09,635,648.83
2014-06-10,636,648.55
2014-06-11,637,620.5
2014-06-12,638,569.1
2014-06-13,639,592.0
2014-06-16,640,586.91
2014-06-17,641,606.48
2014-06-18,642,607.0
2014-06-19,643,593.4
2014-06-20,644,588.02
2014-06-23,645,588.22
2014-06-24,646,572.62
2014-06-25,647,560.4
2014-06-26,648,579.99
2014-06-27,649,599.99
2014-06-30,650,641.11
2014-07-01,651,638.25
2014-07-02,652,650.5
2014-07-03,653,645.99
2014-07-04,654,629.0
2014-07-07,655,622.09
2014-07-08,656,623.98
2014-07-09,657,621.97
2014-07-10,658,616.87
2014-07-11,659,635.0
2014-07-14,660,621.17
2014-07-15,661,622.9
2014-07-16,662,616.86
2014-07-17,663,622.2
2014-07-18,664,632.6
2014-07-21,665,622.73
2014-07-22,666,618.26
2014-07-23,667,621.0
2014-07-24,668,601.66
2014-07-25,669,602.93
2014-07-28,670,586.53
2014-07-29,671,585.95
2014-07-30,672,563.84
2014-07-31,673,582.04
2014-08-01,674,598.2
2014-08-04,675,588.5
2014-08-05,676,581.76
2014-08-06,677,581.16
2014-08-07,678,585.84
2014-08-08,679,588.02
2014-08-11,680,573.98
2014-08-12,681,566.69
2014-08-13,682,548.81
2014-08-14,683,507.99
2014-08-15,684,500.25
2014-08-18,685,475.22
2014-08-19,686,491.98
2014-08-20,687,516.39
2014-08-21,688,519.28
2014-08-22,689,514.65
