Holding Period(Years),Annualized Return,Buy Price,Buy Date,Sell Price,Sell Date
1.7808764940239044,20.416622222459335,4.83,2012-03-19,1132.01,2013-12-04
1.7848605577689243,19.278181466754216,5.26,2012-03-16,1132.01,2013-12-04
1.7888446215139442,19.74469350876165,4.99,2012-03-12,1131.99,2013-11-29
1.792828685258964,19.744879606529125,4.93,2012-03-09,1131.99,2013-11-29
1.796812749003984,19.422093876881995,5.01,2012-03-08,1131.99,2013-11-29
1.800796812749004,19.468399234832507,4.93,2012-03-07,1131.99,2013-11-29
1.8047808764940239,19.332646300399954,4.93,2012-03-09,1132.01,2013-12-04
1.8087649402390438,19.019234193212746,5.01,2012-03-08,1132.01,2013-12-04
1.8127490039840637,19.386434050276943,4.79,2012-03-02,1131.99,2013-11-29
1.8167330677290836,18.82326158956302,4.98,2012-03-06,1132.01,2013-12-04
1.8207171314741035,18.672245963050106,4.99,2012-02-29,1131.99,2013-11-29
1.8247011952191234,18.987984340079052,4.79,2012-03-02,1132.01,2013-12-04
1.8286852589641434,18.397465059324055,5.0,2012-03-01,1132.01,2013-12-04
1.8326693227091633,18.37862735186876,4.95,2012-02-24,1131.99,2013-11-29
1.8366533864541832,18.404500800618095,4.88,2012-02-28,1132.01,2013-12-04
1.840637450199203,19.12401680565834,4.51,2012-02-22,1131.99,2013-11-29
1.844621513944223,18.82771598551838,4.58,2012-02-21,1131.99,2013-11-29
1.848605577689243,19.03411592680977,4.44,2012-02-20,1131.99,2013-11-29
1.8525896414342629,18.73820934099737,4.51,2012-02-22,1132.01,2013-12-04
1.8565737051792828,18.6120949630252,4.51,2012-02-16,1131.99,2013-11-29
1.8605577689243027,18.65222633114319,4.44,2012-02-20,1132.01,2013-12-04
1.8645418326693226,18.005721323280486,4.67,2012-02-17,1132.01,2013-12-04
1.8685258964143425,18.24244925222484,4.51,2012-02-16,1132.01,2013-12-04
1.8725099601593624,17.726263631041167,4.69,2012-02-15,1132.01,2013-12-04
1.8764940239043826,17.20055776574977,4.89,2012-02-14,1132.01,2013-12-04
1.8804780876494025,16.16178881586777,4.67,2012-02-17,979.23,2013-12-10
1.8844621513944224,16.37747958559515,4.51,2012-02-16,979.23,2013-12-10
1.8884462151394423,15.918841826625854,4.69,2012-02-15,979.23,2013-12-10
1.8924302788844622,15.451334541640627,4.89,2012-02-14,979.23,2013-12-10
1.8964143426294822,15.298575854946613,5.69,2012-02-07,1132.01,2013-12-04
1.900398406374502,15.339999402655728,5.6,2012-02-06,1132.01,2013-12-04
1.904382470119522,15.721152467652722,5.3,2012-01-31,1131.99,2013-11-29
1.908366533864542,15.180668632204277,5.58,2012-01-30,1131.99,2013-11-29
1.9123505976095618,14.928437479068988,5.3,2012-01-31,1055.0,2013-12-03
1.9163346613545817,15.430118357176585,5.3,2012-01-31,1132.01,2013-12-04
1.9203187250996017,14.90287280669069,5.58,2012-01-30,1132.01,2013-12-04
1.9243027888446216,14.38753898219673,5.88,2012-01-27,1132.01,2013-12-04
1.9282868525896415,14.840292031138915,5.5,2012-01-26,1132.01,2013-12-04
1.9322709163346614,13.95279928351451,5.5,2012-01-26,1023.87,2013-12-05
1.9362549800796813,13.851104362573295,4.95,2012-02-24,919.24,2014-01-06
1.9402390438247012,13.51127756884992,4.51,2012-02-22,809.4,2014-01-03
1.9442231075697212,14.408157454919337,4.51,2012-02-22,919.24,2014-01-06
1.948207171314741,14.201568102762247,4.58,2012-02-21,919.24,2014-01-06
1.952191235059761,14.359699467105598,4.44,2012-02-20,919.24,2014-01-06
1.956175298804781,13.885170356565846,4.67,2012-02-17,919.24,2014-01-06
1.9601593625498008,14.069338830923096,4.51,2012-02-16,919.24,2014-01-06
1.9641434262948207,13.690996847318674,4.69,2012-02-15,919.24,2014-01-06
1.9681274900398407,13.4601411160521,4.44,2012-02-20,852.61,2014-01-10
1.9721115537848606,13.253988918011169,6.0,2012-01-06,1131.99,2013-11-29
1.9760956175298805,13.192422787480599,4.51,2012-02-16,852.61,2014-01-10
1.9800796812749004,13.642097421415361,5.57,2012-01-04,1131.99,2013-11-29
1.9840637450199203,13.94694521639232,5.29,2012-01-03,1131.99,2013-11-29
1.9880478087649402,13.297062845105385,5.29,2012-01-03,1047.47,2013-12-02
1.9920318725099602,13.408325935084843,5.57,2012-01-04,1132.01,2013-12-04
1.99601593625498,13.706964319006335,5.29,2012-01-03,1132.01,2013-12-04
2.0,12.912160298055445,5.29,2012-01-03,1023.87,2013-12-05
2.00398406374502,12.454297338273063,4.51,2012-02-16,824.89,2014-01-21
2.00796812749004,12.339026477235837,4.51,2012-02-16,819.2,2014-01-22
2.0119521912350598,12.396137030650122,5.29,2012-01-03,979.23,2013-12-10
2.0159362549800797,12.052140178947127,4.44,2012-02-20,788.0,2014-01-28
2.0199203187250996,12.036737778361061,4.44,2012-02-20,794.21,2014-01-29
2.0239043824701195,12.017564005300015,4.44,2012-02-20,799.99,2014-01-30
2.0278884462151394,11.976105097109986,4.44,2012-02-20,803.0,2014-01-31
2.0318725099601593,11.954501541798527,4.44,2012-02-20,808.5,2014-02-03
2.0358565737051793,11.846504353171358,4.44,2012-02-20,802.99,2014-02-04
2.039840637450199,11.727551740933425,4.51,2012-02-16,808.5,2014-02-03
2.043824701195219,11.622293362519638,4.51,2012-02-16,802.99,2014-02-04
2.047808764940239,11.401323681289714,4.51,2012-02-16,782.33,2014-02-05
2.051792828685259,11.198984458389642,4.51,2012-02-16,763.99,2014-02-06
2.055776892430279,10.91107115657765,4.69,2012-02-15,763.99,2014-02-06
2.0597609561752988,10.616218250629624,4.89,2012-02-14,763.99,2014-02-06
2.0637450199203187,10.33469874747551,5.5,2012-01-26,824.89,2014-01-21
2.0677290836653386,10.307076928646302,4.44,2012-02-20,669.0,2014-02-14
2.0717131474103585,10.182232898539505,5.3,2012-01-31,788.0,2014-01-28
2.0756972111553784,10.292552497346982,6.0,2012-01-06,919.24,2014-01-06
2.0796812749003983,10.160013354282295,5.3,2012-01-31,799.99,2014-01-30
2.0836653386454183,10.594867255637539,5.57,2012-01-04,919.24,2014-01-06
2.087649402390438,10.829442618829905,5.29,2012-01-03,919.24,2014-01-06
2.091633466135458,10.02694580579049,5.3,2012-01-31,802.99,2014-02-04
2.095617529880478,10.119340621041026,5.29,2012-01-03,823.45,2014-01-08
2.099601593625498,10.077018165623137,5.29,2012-01-03,824.76,2014-01-09
2.103585657370518,10.202142753272895,5.29,2012-01-03,852.61,2014-01-10
2.1075697211155378,9.96564035495171,5.29,2012-01-03,823.0,2014-01-13
2.1115537848605577,9.872071563707642,5.29,2012-01-03,815.99,2014-01-14
2.1155378486055776,9.979748775802832,5.29,2012-01-03,841.14,2014-01-15
2.1195219123505975,9.765067054567302,5.29,2012-01-03,814.4,2014-01-16
2.1235059760956174,9.613455088950673,4.44,2012-02-20,669.57,2014-03-06
2.1274900398406373,9.74097123515197,5.29,2012-01-03,826.02,2014-01-20
2.1314741035856573,9.68654805639094,5.29,2012-01-03,824.89,2014-01-21
2.135458167330677,9.604990046643373,5.29,2012-01-03,819.2,2014-01-22
2.139442231075697,9.514982321325602,5.29,2012-01-03,812.0,2014-01-23
2.143426294820717,9.274549113891949,5.29,2012-01-03,780.0,2014-01-24
2.147410358565737,9.057238945462508,5.29,2012-01-03,751.95,2014-01-27
2.151394422310757,9.234706269566077,5.29,2012-01-03,788.0,2014-01-28
2.1553784860557768,9.227983468911063,5.29,2012-01-03,794.21,2014-01-29
2.1593625498007967,9.218457263452894,5.29,2012-01-03,799.99,2014-01-30
2.1633466135458166,9.192491232876927,5.29,2012-01-03,803.0,2014-01-31
2.1673306772908365,9.181099736481332,5.29,2012-01-03,808.5,2014-02-03
2.1713147410358564,9.10596394195692,5.29,2012-01-03,802.99,2014-02-04
2.1752988047808763,8.943376992203453,5.29,2012-01-03,782.33,2014-02-05
2.1792828685258963,8.794513626607753,5.29,2012-01-03,763.99,2014-02-06
2.183266932270916,8.443107586001677,4.98,2012-04-26,670.14,2014-06-03
2.187250996015936,8.297757168999144,5.04,2012-04-27,661.48,2014-06-05
2.191235059760956,8.31088896268012,4.98,2012-04-26,661.48,2014-06-05
2.195219123505976,8.311354234939259,5.0,2012-04-23,670.14,2014-06-03
2.199203187250996,8.15518666772106,4.98,2012-04-26,648.83,2014-06-09
2.2031872509960158,8.182149280624884,5.0,2012-04-23,661.48,2014-06-05
2.2071713147410357,8.16046387070757,4.98,2012-04-17,661.22,2014-06-02
2.2111553784860556,8.179440068004986,4.98,2012-04-17,670.14,2014-06-03
2.2151394422310755,8.142911308979823,4.98,2012-04-16,670.14,2014-06-03
2.2191235059760954,8.148162813970117,4.93,2012-04-13,670.14,2014-06-03
2.2231075697211153,8.111944477396262,4.93,2012-04-12,670.14,2014-06-03
2.2270916334661353,8.130456042847555,4.8,2012-04-10,661.22,2014-06-02
2.231075697211155,8.149254636944073,4.8,2012-04-10,670.14,2014-06-03
2.235059760956175,8.15601916704724,4.75,2012-04-09,670.14,2014-06-03
2.239043824701195,8.024882164730391,4.8,2012-04-10,661.48,2014-06-05
2.243027888446215,8.03175059349931,4.75,2012-04-09,661.48,2014-06-05
2.247011952191235,7.9093746160545635,4.75,2012-04-09,647.16,2014-06-06
2.250996015936255,7.885120082597393,4.75,2012-04-09,648.83,2014-06-09
2.254980079681275,7.849201559835521,4.75,2012-04-09,648.55,2014-06-10
2.258964143426295,7.837693463901491,4.88,2012-03-30,670.14,2014-06-03
2.262948207171315,7.835932781182853,4.84,2012-03-29,670.14,2014-06-03
2.266932270916335,7.750285872570835,4.84,2012-03-27,661.22,2014-06-02
2.270916334661355,7.805745540954598,4.73,2012-03-26,661.22,2014-06-02
2.2749003984063747,7.824085555637474,4.73,2012-03-26,670.14,2014-06-03
2.2788844621513946,7.7500895549837825,4.78,2012-03-23,670.14,2014-06-03
2.2828685258964145,7.707520434368167,4.73,2012-03-26,661.48,2014-06-05
2.2868525896414345,7.634955310445118,4.78,2012-03-23,661.48,2014-06-05
2.2908366533864544,7.643735236127789,4.79,2012-03-20,670.14,2014-06-03
2.2948207171314743,7.580279309334832,4.83,2012-03-19,670.14,2014-06-03
2.298804780876494,7.530949471251443,4.79,2012-03-20,661.48,2014-06-05
2.302788844621514,7.4687298817649985,4.83,2012-03-19,661.48,2014-06-05
2.306772908366534,7.397426208193373,4.79,2012-03-20,648.83,2014-06-09
2.310756972111554,7.36511115870692,4.79,2012-03-20,648.55,2014-06-10
2.314741035856574,7.337886439283739,4.8,2012-04-10,650.5,2014-07-02
2.318725099601594,7.345159996349922,4.75,2012-04-09,650.5,2014-07-02
2.3227091633466137,7.289976663298059,4.75,2012-04-09,645.99,2014-07-03
2.3266932270916336,7.258261947495299,4.93,2012-03-07,670.14,2014-06-03
2.3306772908366535,7.192963148562553,4.98,2012-03-06,670.14,2014-06-03
2.3346613545816735,7.253262229149344,4.79,2012-03-02,661.22,2014-06-02
2.3386454183266934,7.270895491111267,4.79,2012-03-02,670.14,2014-06-03
2.3426294820717133,7.09165859524094,5.0,2012-03-01,670.14,2014-06-03
2.346613545816733,7.166381815324582,4.79,2012-03-02,661.48,2014-06-05
2.350597609561753,7.1179758529622585,4.88,2012-02-28,670.14,2014-06-03
2.354581673306773,7.042328461865365,4.79,2012-03-02,648.83,2014-06-09
2.358565737051793,7.069954395390377,4.51,2012-02-22,621.0,2014-05-30
2.362549800796813,7.258055354911601,4.51,2012-02-22,661.22,2014-06-02
2.366533864541833,7.275482629466946,4.51,2012-02-22,670.14,2014-06-03
2.3705179282868527,7.253947595801753,4.44,2012-02-20,661.22,2014-06-02
2.3745019920318726,7.271314593474379,4.44,2012-02-20,670.14,2014-06-03
2.3784860557768925,7.142064808449733,4.51,2012-02-16,661.22,2014-06-02
2.3824701195219125,7.168357434325278,4.44,2012-02-20,661.48,2014-06-05
2.3864541832669324,7.065458353049392,4.44,2012-02-20,647.16,2014-06-06
2.3904382470119523,7.058464682676881,4.51,2012-02-16,661.48,2014-06-05
2.394422310756972,7.016801638895915,4.44,2012-02-20,648.55,2014-06-10
2.398406374501992,6.938621550208023,4.51,2012-02-16,648.83,2014-06-09
